[INFO 1637204299.792661100] [gps_imu_simul_node]: listened state: {position: {x: 1.099998, y: 0.999998, theta: 0.000000}, velocity: {u: 0.999952, v: -0.000058, r: 0.000001}, time: 0.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.793556300] [gps_imu_simul_node]: published simulated state: {position: {x: 1.099998, y: 0.999998, theta: 0.000000}, velocity: {u: 0.999952, v: -0.000058, r: 0.000001}, time: 0.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.859234000] [gps_imu_simul_node]: listened state: {position: {x: 1.199991, y: 0.999992, theta: 0.000000}, velocity: {u: 0.999920, v: -0.000118, r: 0.000002}, time: 0.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.859980800] [gps_imu_simul_node]: published simulated state: {position: {x: 1.199991, y: 0.999992, theta: 0.000000}, velocity: {u: 0.999920, v: -0.000118, r: 0.000002}, time: 0.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.866459900] [gps_imu_simul_node]: listened state: {position: {x: 1.299985, y: 0.999982, theta: 0.000001}, velocity: {u: 0.999919, v: -0.000180, r: 0.000004}, time: 0.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.867369200] [gps_imu_simul_node]: published simulated state: {position: {x: 1.299985, y: 0.999982, theta: 0.000001}, velocity: {u: 0.999919, v: -0.000180, r: 0.000004}, time: 0.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.874691900] [gps_imu_simul_node]: listened state: {position: {x: 1.399985, y: 0.999968, theta: 0.000001}, velocity: {u: 0.999959, v: -0.000244, r: 0.000005}, time: 0.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.875636100] [gps_imu_simul_node]: published simulated state: {position: {x: 1.399985, y: 0.999968, theta: 0.000001}, velocity: {u: 0.999959, v: -0.000244, r: 0.000005}, time: 0.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.883424400] [gps_imu_simul_node]: listened state: {position: {x: 1.499998, y: 0.999949, theta: 0.000001}, velocity: {u: 1.000048, v: -0.000313, r: 0.000006}, time: 0.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.884419600] [gps_imu_simul_node]: published simulated state: {position: {x: 1.499998, y: 0.999949, theta: 0.000001}, velocity: {u: 1.000048, v: -0.000313, r: 0.000006}, time: 0.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.891543900] [gps_imu_simul_node]: listened state: {position: {x: 1.600033, y: 0.999924, theta: 0.000002}, velocity: {u: 1.000194, v: -0.000385, r: 0.000007}, time: 0.600000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.892580800] [gps_imu_simul_node]: published simulated state: {position: {x: 1.600033, y: 0.999924, theta: 0.000002}, velocity: {u: 1.000194, v: -0.000385, r: 0.000007}, time: 0.600000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.900030700] [gps_imu_simul_node]: listened state: {position: {x: 1.700100, y: 0.999895, theta: 0.000003}, velocity: {u: 1.000403, v: -0.000459, r: 0.000008}, time: 0.700000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204299.901154200] [gps_imu_simul_node]: published simulated state: {position: {x: 1.700100, y: 0.999895, theta: 0.000003}, velocity: {u: 1.000403, v: -0.000459, r: 0.000008}, time: 0.700000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
