[INFO 1635534939.445213800] [kalman_filter_node]: listened simulated state: {position: {x: 1.084141, y: 1.054022, psi: 1.000000}, velocity: {u: 0.999811, v: -0.000129, r: 0.000005}, time: 0.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635534939.446015000] [kalman_filter_node]: published estimated state: {position: {x: 1.084141, y: 1.054022, psi: 1.000000}, velocity: {u: 0.999811, v: -0.000129, r: 0.000005}, time: 0.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635534939.497132800] [kalman_filter_node]: listened simulated state: {position: {x: 1.168269, y: 1.108030, psi: 0.999999}, velocity: {u: 0.999638, v: -0.000258, r: 0.000010}, time: 0.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635534939.497835200] [kalman_filter_node]: published estimated state: {position: {x: 1.168269, y: 1.108030, psi: 0.999999}, velocity: {u: 0.999638, v: -0.000258, r: 0.000010}, time: 0.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635534939.505931500] [kalman_filter_node]: listened simulated state: {position: {x: 1.252389, y: 1.162025, psi: 0.999998}, velocity: {u: 0.999496, v: -0.000386, r: 0.000014}, time: 0.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635534939.506693700] [kalman_filter_node]: published estimated state: {position: {x: 1.252389, y: 1.162025, psi: 0.999998}, velocity: {u: 0.999496, v: -0.000386, r: 0.000014}, time: 0.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635534939.515770800] [kalman_filter_node]: listened simulated state: {position: {x: 1.336505, y: 1.216010, psi: 0.999996}, velocity: {u: 0.999397, v: -0.000514, r: 0.000019}, time: 0.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635534939.516934000] [kalman_filter_node]: published estimated state: {position: {x: 1.336505, y: 1.216010, psi: 0.999996}, velocity: {u: 0.999397, v: -0.000514, r: 0.000019}, time: 0.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635534939.527031800] [kalman_filter_node]: listened simulated state: {position: {x: 1.420624, y: 1.269989, psi: 0.999994}, velocity: {u: 0.999351, v: -0.000640, r: 0.000024}, time: 0.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635534939.528012700] [kalman_filter_node]: published estimated state: {position: {x: 1.420624, y: 1.269989, psi: 0.999994}, velocity: {u: 0.999351, v: -0.000640, r: 0.000024}, time: 0.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
[INFO 1635534939.539184100] [kalman_filter_node]: listened simulated state: {position: {x: 1.504753, y: 1.323968, psi: 0.999991}, velocity: {u: 0.999364, v: -0.000766, r: 0.000028}, time: 0.600000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\kalman_filter.py:65)
