[INFO 1637204079.204527900] [gps_imu_simul_node]: listened state: {position: {x: 1.099998, y: 0.999998, theta: 0.000000}, velocity: {u: 0.999952, v: -0.000058, r: 0.000001}, time: 0.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204079.205520000] [gps_imu_simul_node]: published simulated state: {position: {x: 1.099998, y: 0.999998, theta: 0.000000}, velocity: {u: 0.999952, v: -0.000058, r: 0.000001}, time: 0.100000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204079.271409500] [gps_imu_simul_node]: listened state: {position: {x: 1.199991, y: 0.999992, theta: 0.000000}, velocity: {u: 0.999920, v: -0.000118, r: 0.000002}, time: 0.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204079.272223800] [gps_imu_simul_node]: published simulated state: {position: {x: 1.199991, y: 0.999992, theta: 0.000000}, velocity: {u: 0.999920, v: -0.000118, r: 0.000002}, time: 0.200000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204079.279369300] [gps_imu_simul_node]: listened state: {position: {x: 1.299985, y: 0.999982, theta: 0.000001}, velocity: {u: 0.999919, v: -0.000180, r: 0.000004}, time: 0.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204079.280263700] [gps_imu_simul_node]: published simulated state: {position: {x: 1.299985, y: 0.999982, theta: 0.000001}, velocity: {u: 0.999919, v: -0.000180, r: 0.000004}, time: 0.300000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204079.287573300] [gps_imu_simul_node]: listened state: {position: {x: 1.399985, y: 0.999968, theta: 0.000001}, velocity: {u: 0.999959, v: -0.000244, r: 0.000005}, time: 0.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204079.288451600] [gps_imu_simul_node]: published simulated state: {position: {x: 1.399985, y: 0.999968, theta: 0.000001}, velocity: {u: 0.999959, v: -0.000244, r: 0.000005}, time: 0.400000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204079.296197200] [gps_imu_simul_node]: listened state: {position: {x: 1.499998, y: 0.999949, theta: 0.000001}, velocity: {u: 1.000048, v: -0.000313, r: 0.000006}, time: 0.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204079.297230100] [gps_imu_simul_node]: published simulated state: {position: {x: 1.499998, y: 0.999949, theta: 0.000001}, velocity: {u: 1.000048, v: -0.000313, r: 0.000006}, time: 0.500000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
[INFO 1637204079.305662800] [gps_imu_simul_node]: listened state: {position: {x: 1.600033, y: 0.999924, theta: 0.000002}, velocity: {u: 1.000194, v: -0.000385, r: 0.000007}, time: 0.600000} (log_state() at C:\TCC-Autonomous-Ship\src\main_ws\src\install\Lib\site-packages\path_following\gps_imu_simul.py:153)
